Last Empire-War Z,4 January 2017,im30.net, 1.0.118  ,Rated for 12+,Strategy,Install,4.2,650608, 10000000 ,Top Developer
Myntra Online Shopping App,23 December 2016,Myntra,  Varies with d,Rated for 3+,Shopping,Install,4.1,645195, 10000000 ,
Cricbuzz Cricket Scores & News,27 December 2016,Cricbuzz.com,  Varies with d,Rated for 3+,Sports,Install,4.4,570572, 10000000 ,
Dailyhunt (Newshunt) News,27 December 2016,Newshunt,  Varies with d,Rated for 12+,News & Magazines,Install,4.3,656062, 10000000 ,Top Developer
New KBC 2017 : Quiz Game,14 November 2016,mvCreator, 1.1  ,Rated for 3+,Trivia,Install,4.3,1987, 100000 ,
Name the Pokémon,20 October 2016,downjuu games, 2.1.4e  ,Rated for 3+,Trivia,Install,4.4,1463, 50000 ,
Unofficial Pokémon Quiz,20 December 2016,Euro Trash Games, 1.9  ,Rated for 3+,Trivia,Install,4.2,1620, 100000 ,
Superbook Bible Trivia Game,22 April 2016,The Christian Broadcasting Network (CBN), 1.0.4  ,Rated for 3+,TriviaBrain Games,Install,4.5,569, 50000 ,
uiz | Quiz without Questions,11 July 2016,Habanero Quiz Apps, 1.0.1  ,Rated for 3+,Trivia,Install,4.7,83, 1000 ,
Quizoid: Trivia Quiz 2017,19 December 2016,Habanero Quiz Apps, 4.4.2  ,Rated for 3+,Trivia,Install,4.2,20225, 1000000 ,
Quiz-Bingo | Freitext-Fragen,3 June 2016,Habanero Quiz Apps, 2.0  ,Rated for 3+,Trivia,Install,4.1,741, 10000 ,
Celebrity Quiz: Guess Stars,1 July 2016,Habanero Quiz Apps, 1.1.1  ,Rated for 3+,Trivia,Install,3.8,1960, 100000 ,
Dungeon of Legends,4 December 2013,BBG Entertainment, 1.15  ,Rated for 7+,Arcade,Install,3.5,449, 10000 ,
Perfil,26 August 2014,Grow., 03.06.01  ,Rated for 3+,Trivia,Install,3.9,8489, 100000 ,
Les animaux - 101 idées reçues,11 March 2015,MaxiApp, 1.0  ,Rated for 3+,Trivia,Install,4.5,17, 1000 ,
Word Search : Puzzle Game,14 December 2016,mvCreator, 1.0  ,Rated for 3+,Word,Install,4.9,17, 100 ,
Live Cricket Score,23 December 2016,mvCreator, 1.1  ,Rated for 3+,Entertainment,Install,4.7,46, 5000 ,
GK Quiz Hindi 2016,24 November 2016,KGS Technologies, 1.3  ,Rated for 3+,Trivia,Install,4.2,273, 50000 ,
JackPad,20 September 2013,Jackbox Games  Inc., 1.0.1  ,Unrated,Puzzle,Install,2.9,991, 100000 ,
Landmarks Quiz,17 October 2016,downjuu games, 2.1.4e  ,Rated for 3+,Trivia,Install,4.0,4, 50 ,
Quiz of Pokemon Mystery,19 October 2016,Zainal Abidin, 2.2.4e  ,Rated for 3+,Trivia,Install,4.3,22, 1000 ,
Celebrity Guess Kenya,16 October 2016,downjuu games, 2.3.4e  ,Rated for 3+,Trivia,Install,,, 10 ,
Bubble Shooter Classic,13 October 2016,Free Bubble Shooter Games,,Rated for 3+,TriviaAction & Adventure,Install,4.2,459, 50000 ,
True or False: Quiz Battle,2 December 2014,LOTUM one GmbH, 1.5.1-US  ,Rated for 3+,Trivia,Install,4.2,59195, 1000000 ,
Bible Phrase Free,8 October 2013,Mark Sandell, 1.0  ,Rated for 3+,TriviaBrain Games,Install,4.0,5, 1000 ,
MILLIONAIRE free quiz,15 April 2016,Spritted.com, 1.1.84  ,Rated for 3+,TriviaEducation,Install,3.8,525, 10000 ,
One Epic Knight,7 January 2014,Simutronics Corp, 1.3.26  ,Rated for 7+,Arcade,Install,4.2,22271, 500000 ,
Trivio,22 April 2016,Kiweb Solutions, 0.0.1  ,Rated for 3+,TriviaBrain Games,Install,3.5,15, 1000 ,
I Know the Cartoon,17 November 2016,Guilardi Mob, 7.19.1  ,Rated for 3+,Trivia,Install,3.9,58683, 1000000 ,
General Knowledge Quiz 2017,1 January 2017,KGS Technologies, 1.4  ,Rated for 3+,Trivia,Install,4.4,52, 1000 ,
Verdade ou Mentira - Quiz,5 February 2015,André Dutra, 1  ,Rated for 3+,Trivia,Install,3.8,1167, 100000 ,
Share Apps,22 November 2015,KGS Technologies, 2.1  ,Rated for 3+,Tools,Install,4.2,349, 10000 ,
Qual é a resposta? (Português),4 August 2016,Smart Funny Games, 2.48  ,Rated for 3+,Trivia,Install,4.0,33369, 1000000 ,
TIC TAC TOE Game Free,25 November 2016,Tourist Places India, 2.0  ,Rated for 3+,Puzzle,Install,4.1,343, 50000 ,
The Test: Fun for Friends!,25 February 2015,LOTUM one GmbH, 1.2.1  ,Rated for 12+,Casual,Install,3.8,66894, 1000000 ,
Guess the Landmarks! Word Quiz,5 October 2016,Tabs A, 1.0  ,Rated for 3+,Trivia,Install,,, 50 ,
True or False - Test Your Wits,10 September 2015,LOTUM media GmbH, 2.4  ,Rated for 3+,Trivia,Install,3.9,68310, 5000000 ,
Bubble Shooter Christmas,17 November 2016,Free Bubble Shooter Games,,Rated for 3+,Puzzle,Install,4.3,104, 10000 ,
Bubble Hero,15 October 2016,Free Bubble Shooter Games,,Rated for 3+,CasualAction & Adventure,Install,4.3,90, 10000 ,
Bubble Shooter Water,21 October 2016,Free Bubble Shooter Games,,Rated for 3+,Puzzle,Install,4.3,210, 10000 ,
MILLONARIO en español trivial,20 September 2016,Spritted.com, 2.0  ,Rated for 3+,Trivia,Install,4.0,2818, 100000 ,
Soccer with Physics 2 players,15 April 2016,Spritted.com,,Rated for 3+,CasualAction & Adventure,Install,3.4,98, 5000 ,
Little Riddles - Riddle Quiz,17 November 2016,2048 puzzle - Logo Game - Logo Quiz - Icomania, 1.0.22  ,Rated for 3+,TriviaBrain Games,Install,4.0,3246, 100000 ,
Trivia Guess - Brain exercises,16 December 2016,TTA Games, 1.2  ,Rated for 3+,TriviaBrain Games,Install,5.0,9, 10 ,
Bajkowy Quiz,27 March 2016,Kamil Kwiatkowski, 1.5.2  ,Rated for 3+,TriviaCreativity,Install,4.4,107, 10000 ,
I Know the Bible,17 November 2016,Guilardi Mob, 7.19.1  ,Rated for 3+,Trivia,Install,4.5,12877, 500000 ,
Lava Jato,16 April 2016,Guilardi Mob, 1.11  ,Rated for 3+,Strategy,Install,4.8,3156, 10000 ,
I Love Elvis Presley,17 November 2016,Guilardi Mob, 7.19.1  ,Rated for 3+,Trivia,Install,4.6,12, 500 ,
I Love Hillsong,17 November 2016,Guilardi Mob, 7.19.1  ,Rated for 3+,Trivia,Install,4.0,4, 100 ,
Super Quiz,15 December 2016,WalkMe Mobile Solutions, 6.2  ,Rated for 3+,Trivia,Install,4.3,137988, 5000000 ,
Would you rather,2 January 2017,MoonCrowd, 1.1  ,Rated for 16+,Trivia,Install,3.9,996, 50000 ,
Bubble Shooter: Puzzle Bobble,30 August 2016,Bubble Shooter - Shoot Bubble,,Rated for 3+,Puzzle,Install,4.0,343, 50000 ,
Wally & Friends,11 August 2015,Ludia Inc., 3.5.5  ,Rated for 3+,Puzzle,Install,3.8,80305, 5000000 ,Top Developer
Word Game Free,2 January 2017,Solek Games, 3.0.4.6  ,Rated for 3+,Puzzle,Install,4.0,365, 50000 ,
Heavy Metal And Rock News,23 May 2015,Dracan Apps, 1.70  ,Rated for 12+,Entertainment,Install,4.4,46, 1000 ,
News From Philippines RSS,24 May 2015,Dracan Apps, 1.55  ,Rated for 3+,News & Magazines,Install,,, 50 ,
Bubble Shooter: Blast Mania,3 October 2016,Free New Games, 1.6  ,Rated for 3+,Puzzle,Install,4.3,6438, 100000 ,
News From India RSS,24 May 2015,Dracan Apps, 1.25  ,Rated for 3+,News & Magazines,Install,,, 50 ,
News From Greece RSS,23 May 2015,Dracan Apps, 1.50  ,Rated for 3+,News & Magazines,Install,4.2,12, 1000 ,
PAC-MAN Pop - Bubble Shooter,20 December 2016,BANDAI NAMCO Entertainment America Inc., 1.9.5205  ,Rated for 3+,PuzzleAction & Adventure,Install,4.2,15080, 1000000 ,Top Developer
Teddy Bear Machine Game,5 February 2016,Moula Soft Inc., 2.2  ,Rated for 3+,CasualPretend play,Install,3.9,18508, 1000000 ,
Kids Policeman Station,12 October 2016,Hippo Kids Games, 1.0.2  ,Rated for 3+,TriviaBrain Games,Install,4.3,736, 100000 ,
Quiz of the World 1,21 August 2016,Jason Sidwell, 1.7.5  ,Rated for 3+,TriviaEducation,Install,4.0,64, 10000 ,
Cartoon Challenge,11 June 2016,Kamil Kwiatkowski, 1.0  ,Rated for 3+,Trivia,Install,5.0,3, 50 ,
Word Search,17 November 2016,appgo, 1.0.1  ,Rated for 3+,TriviaCreativity,Install,4.1,58, 10000 ,
Logo Mania,29 June 2016,Dizzy Heights, 1.2  ,Rated for 3+,TriviaBrain Games,Install,3.8,10, 500 ,
Michael Jackson Trivia,3 August 2016,Russell Mckee, 2.9  ,Rated for 3+,Trivia,Install,4.4,199, 10000 ,
Michael Jackson Quiz,21 July 2016,Quizzes Expert, 1.0  ,Rated for 3+,Trivia,Install,2.5,49, 1000 ,
Perguntas de Matemática,3 December 2016,DJ Mobile, 1.9  ,Rated for 3+,Trivia,Install,4.3,95, 10000 ,
Super Quiz Português,13 December 2016,WalkMe Mobile Solutions, 6.2  ,Rated for 3+,Trivia,Install,4.2,24928, 1000000 ,
Quizit Português,4 October 2016,WalkMe Mobile Solutions, 5.2  ,Rated for 3+,Trivia,Install,3.8,5628, 100000 ,
Quizit Free,6 October 2016,WalkMe Mobile Solutions, 5.2  ,Rated for 3+,Trivia,Install,3.7,2318, 100000 ,
Guess the Celebrity,16 January 2014,Woody Apps, 1.06  ,Rated for 3+,Trivia,Install,3.0,700, 50000 ,
Kingdom Defense: Epic Hero War,19 July 2016,Bubble Shooter - Shoot Bubble,,Rated for 3+,Action,Install,3.8,956, 50000 ,
Candy Crush Jelly Saga,22 December 2016,King, 1.33.4  ,Rated for 3+,Puzzle,Install,4.3,968044, 50000000 ,Top Developer
Quizit Español,6 October 2016,WalkMe Mobile Solutions, 5.2  ,Rated for 3+,Puzzle,Install,4.0,6204, 500000 ,
Bubble Shooter Magic Witch,24 December 2016,Big Panda Games, 2.777  ,Rated for 3+,PuzzleBrain Games,Install,4.1,1136, 100000 ,
Heavy Metal Radio,10 September 2015,Sandrusky, 1.0.1  ,Rated for 3+,Entertainment,Install,4.5,11, 500 ,
Bubble Legend,23 August 2016,Gamoper, 1.0.107  ,Rated for 3+,PuzzleAction & Adventure,Install,4.3,6005, 500000 ,
Jungle POP Bubble Shooter,4 July 2016,Bubble Shooter Pop!,,Rated for 3+,PuzzleAction & Adventure,Install,4.3,1504, 100000 ,
Troll Face Quest Classic,24 May 2016,Spil Games, 1.0.31  ,Rated for 12+,Puzzle,Install,4.5,199908, 5000000 ,
Car Salon Kingdom,14 June 2015,Animoca Brands, 1.0.1  ,Rated for 3+,Racing,Install,3.9,1065, 50000 ,
Gotta Eat Them All: Clicker,22 December 2016,Animoca Brands, 1.1.1  ,Rated for 3+,Casual,Install,4.8,165, 5000 ,
NFC Automatic SMS,30 March 2015,Moula Soft Inc., 1.3  ,Rated for 3+,Communication,Install,4.2,4, 100 ,
Goals Plan - Goals Tracker,3 September 2016,IEFGroupe, 1.1.8  ,Rated for 3+,Productivity,Install,4.3,33, 1000 ,
Jewels Link,24 June 2016,appgo, 1.9.098  ,Rated for 3+,Casual,Install,3.9,3839, 500000 ,
Online Images Live Wallpaper,31 July 2014,Moula Soft Inc., 1.1  ,Rated for 3+,Personalisation,Install,3.6,56, 1000 ,
Astro Boy Flight!,9 September 2015,Animoca Brands, 1.2.0  ,Rated for 3+,ArcadeAction & Adventure,Install,4.0,4081, 500000 ,
Ph News,22 November 2016,Excite Media Services PH  Inc., 2.2.2  ,Rated for 16+,News & Magazines,Install,4.5,43, 1000 ,
Akshay kumar Quiz,26 July 2016,Quizzes Expert, 1.0  ,Rated for 3+,Trivia,Install,4.7,20, 500 ,
Ranbir Kapoor Quiz,27 July 2016,Quizzes Expert, 1.0  ,Rated for 3+,Trivia,Install,5.0,14, 100 ,
Bengali Quiz,29 July 2016,Quizzes Expert, 1.0  ,Rated for 3+,Trivia,Install,3.8,9, 1000 ,
Imágenes gratis para Whatsapp,11 August 2016,HappyGP32, 1.02  ,Rated for 3+,Entertainment,Install,4.1,3941, 100000 ,
Pixelmod for Pokecraft,9 September 2016,HappyGP32, 1.0  ,Rated for 3+,Entertainment,Install,3.8,2420, 100000 ,
Salman Khan Quiz,27 July 2016,Quizzes Expert, 1.0  ,Rated for 3+,Trivia,Install,4.5,18, 1000 ,
Shahrukh khan Quiz,27 July 2016,Quizzes Expert, 1.0  ,Rated for 3+,Trivia,Install,4.6,79, 1000 ,
Trivial Discover (trivia quiz),5 July 2013,Juamba, 1.7.6  ,Rated for 3+,Puzzle,Install,4.2,645, 100000 ,
Brain Games,29 September 2016,Godline Studios, 5.1  ,Rated for 3+,Puzzle,Install,4.1,52976, 5000000 ,
Adivina al Youtuber,3 December 2016,Lucygames, 2.3.5e  ,Rated for 3+,Puzzle,Install,4.2,8542, 100000 ,
Spanish Hangman (Free),18 July 2016,DroidLogic,  Varies with d,Rated for 3+,Puzzle,Install,3.5,11872, 1000000 ,
Shuffle Cats,8 December 2016,King, 0.23.24  ,Rated for 3+,Card,Install,4.3,136746, 1000000 ,Top Developer
RE-VOLT Classic - 3D Racing,25 March 2016,WeGo Interactive Co.  LTD, 1.2.9  ,Rated for 3+,Racing,Install,4.0,111693, 5000000 ,Top Developer
Racing Online,4 August 2016,ByteTyper,,Rated for 3+,Racing,Install,4.2,40470, 1000000 ,
Racing Rivals,20 December 2016,Glu, 6.1.0  ,Rated for 3+,Racing,Install,3.9,868169, 50000000 ,Top Developer
Zixxby: Alien Shooter Lite,19 June 2013,Animoca Brands, 1.0.1  ,Rated for 7+,Action,Install,3.9,237, 10000 ,
Groove Planet Beat Blaster MP3,8 December 2016,Animoca Brands, 2.0.3  ,Rated for 3+,Music,Install,4.4,20181, 500000 ,
Kingdom Wars Online,22 July 2014,Animoca Brands, 1.0.0  ,Rated for 7+,Action,Install,4.0,641, 10000 ,
Arctic Dash: Norm of the North,12 May 2016,Animoca Brands, 1.0.0  ,Rated for 3+,RacingAction & Adventure,Install,3.6,241, 50000 ,
Philippines News - Newspapers,18 November 2016,AppMind - Radio FM  Radio Online  Music and News, 1.0.0  ,Rated for 3+,News & Magazines,Install,5.0,1, 10 ,
Goal Plus - Monitor & Tracker,14 December 2016,Adwil Solutions, 2.1  ,Rated for 3+,Productivity,Install,4.4,117, 5000 ,
Bollywood Quiz,8 September 2016,KillingTime Creations, 2.1.1e  ,Rated for 3+,Trivia,Install,,, 10 ,
Goal Planner,14 December 2016,Siddharth Vaithinathan, 1.0  ,Rated for 3+,Productivity,Install,5.0,6, 100 ,
Summer Sports: Javelin,22 July 2016,Spil Games, 1.0  ,Rated for 3+,Sports,Install,3.5,303, 50000 ,
Your change Free,3 October 2013,DroidLogic, 1.01  ,Rated for 3+,Finance,Install,3.4,113, 10000 ,
Guess The Movie  ® - Bollywood,18 March 2015,June Software Inc, 1.56  ,Rated for 3+,Trivia,Install,3.9,2440, 50000 ,
Spider Solitaire,3 January 2017,Happy Sky Games, 2.5  ,Rated for 3+,Card,Install,4.7,21184, 1000000 ,
PocketGear for Pokemon GO,17 December 2016,Wibbly Stuff,,Rated for 3+,Entertainment,Install,4.4,476, 50000 ,
Skins for Minecraft Pokemon,6 October 2016,ModStudio, 1.0.1  ,Rated for 3+,Entertainment,Install,3.5,229, 50000 ,
Drift Show,24 July 2016,ByteTyper,,Rated for 3+,Racing,Install,4.3,1611, 100000 ,
Solitaire,13 December 2016,Lemon Games  Inc, 2.8  ,Rated for 3+,Card,Install,4.7,29663, 1000000 ,
Racing Simulator,7 August 2016,ByteTyper,,Rated for 3+,Racing,Install,3.8,3594, 100000 ,
Traffic Racer,8 March 2016,Soner Kara,,Rated for 3+,Racing,Install,4.4,4621439, 100000000 ,Top Developer
Top Speed: Drag & Fast Racing,27 December 2015,T-Bull,,Rated for 12+,Racing,Install,4.6,290064, 5000000 ,
CSR Racing 2,20 December 2016,NaturalMotionGames Ltd,,Rated for 12+,Racing,Install,4.7,1250229, 10000000 ,Top Developer
Riding in Traffic Online,11 August 2016,ByteTyper,,Rated for 3+,Racing,Install,4.1,1966, 100000 ,
Parking Online,23 August 2016,ByteTyper,,Rated for 3+,Racing,Install,4.0,4205, 500000 ,
3D Tanks Online: Tanktastic,3 January 2017,G.H.O.R. Corporation, 2.1a  ,Rated for 3+,Action,Install,4.3,200660, 1000000 ,
Philippines News,9 November 2014,NES Soft Lab, 5.3.9  ,Rated for 3+,News & Magazines,Install,4.4,42, 1000 ,
